##########LIQUID NITROGEN TEMPERATURE CASE################
Resistance = -1.26e-02 ohm

I(A)	V_G(V)	V_H(V)

##########ROOM TEMPERATURE CASE################
Resistance = 2.69e-02 ohm

I(A)	V_G(V)	V_H(V)
0.00e+00 0.00e+00 0.00e+00
5.00e-01 9.80e-18 3.72e-11
1.00e+00 3.92e-17 1.49e-10
1.50e+00 8.82e-17 3.34e-10
2.00e+00 1.57e-16 5.94e-10
2.50e+00 2.45e-16 9.29e-10
3.00e+00 3.53e-16 1.34e-09
3.50e+00 4.80e-16 1.82e-09
4.00e+00 6.27e-16 2.38e-09
4.50e+00 7.94e-16 3.01e-09
5.00e+00 9.80e-16 3.72e-09
5.50e+00 1.19e-15 4.50e-09
6.00e+00 1.41e-15 5.35e-09
6.50e+00 1.66e-15 6.28e-09
7.00e+00 1.92e-15 7.28e-09
7.50e+00 2.21e-15 8.36e-09
8.00e+00 2.51e-15 9.51e-09
8.50e+00 2.83e-15 1.07e-08
9.00e+00 3.18e-15 1.20e-08
9.50e+00 3.54e-15 1.34e-08
1.00e+01 3.92e-15 1.49e-08
1.05e+01 4.32e-15 1.64e-08
1.10e+01 4.74e-15 1.80e-08
1.15e+01 5.18e-15 1.97e-08
1.20e+01 5.64e-15 2.14e-08
1.25e+01 6.13e-15 2.32e-08
1.30e+01 6.63e-15 2.51e-08
1.35e+01 7.14e-15 2.71e-08
1.40e+01 7.68e-15 2.91e-08
1.45e+01 8.24e-15 3.12e-08
1.50e+01 8.82e-15 3.34e-08
1.55e+01 9.42e-15 3.57e-08
1.60e+01 1.00e-14 3.80e-08
1.65e+01 1.07e-14 4.05e-08
1.70e+01 1.13e-14 4.29e-08
1.75e+01 1.20e-14 4.55e-08
1.80e+01 1.27e-14 4.81e-08
1.85e+01 1.34e-14 5.09e-08
1.90e+01 1.42e-14 5.36e-08
1.95e+01 1.49e-14 5.65e-08
